time (min),raw light scattering data: detector voltage  (V) detector 2,raw light scattering data: detector voltage  (V) detector 3,raw light scattering data: detector voltage  (V) detector 4,raw light scattering data: detector voltage  (V) detector 5,raw light scattering data: detector voltage  (V) detector 6,raw light scattering data: detector voltage  (V) detector 7,raw light scattering data: detector voltage  (V) detector 8,raw light scattering data: detector voltage  (V) detector 9,raw light scattering data: detector voltage  (V) detector 10,raw light scattering data: detector voltage  (V) detector 11,raw light scattering data: detector voltage  (V) detector 12,raw light scattering data: detector voltage  (V) detector 13,raw light scattering data: detector voltage  (V) detector 14,raw light scattering data: detector voltage  (V) detector 15,raw light scattering data: detector voltage  (V) detector 16,raw light scattering data: detector voltage  (V) detector 17,raw light scattering data: detector voltage  (V) detector 18,UV absorbance data: absorbance  (AU) channel 1,UV absorbance data: absorbance  (AU) channel 2,count rate: count rate  (Hz),count rate at corr. func.: count rate  (Hz),Forward Laser Monitor: Forward Laser Monitor  (V),Auto-inject Signal: Auto-inject Signal
50.2401570100,0.1153225220,0.0296527110,0.0151747370,0.0071131440,0.0164587210,0.0123004120,0.0108727080,0.0094524980,0.0093175220,0.0094842830,0.0095075510,0.0093694880,0.0096077700,0.0138007270,0.0179229940,0.0159483830,0.0204664670,0.0011291500,0.0009354800,53032.1448800000,52264.0682700000,0.9320844450, 
50.2486903700,0.1152616470,0.0296533440,0.0151813810,0.0071224950,0.0164592790,0.0122885510,0.0108656750,0.0094448480,0.0093133420,0.0094713030,0.0094878340,0.0093531440,0.0095968620,0.0137697150,0.0179051410,0.0159483740,0.0204587850,0.0011296190,0.0009372190,52732.1344900000,52114.0922000000,0.9320853680, 
50.2572237300,0.1151930470,0.0296002190,0.0151302530,0.0070881660,0.0163799820,0.0122290860,0.0108186130,0.0094034480,0.0092691010,0.0094380450,0.0094538550,0.0093238310,0.0095632060,0.0137346280,0.0178678500,0.0159365080,0.0204401590,0.0011304720,0.0009378300,52607.8342000000,51904.7433600000,0.9320954160, 
50.2657570900,0.1151179430,0.0295198970,0.0150545460,0.0070369680,0.0162692970,0.0121403470,0.0107431910,0.0093369980,0.0092134300,0.0093809240,0.0094020190,0.0092750500,0.0095257720,0.0136856660,0.0178121750,0.0159116720,0.0204156040,0.0011296030,0.0009389650,50600.9510700000,51695.3945200000,0.9321030610, 
50.2742904500,0.1151155740,0.0295196830,0.0150544220,0.0070292790,0.0162759780,0.0121444510,0.0107358780,0.0093270800,0.0092038630,0.0093745190,0.0093956090,0.0092646370,0.0095192400,0.0136845120,0.0178132350,0.0159079440,0.0204154830,0.0011289930,0.0009404810,51805.5911900000,51486.0456900000,0.9321045450, 
50.2828238100,0.1156058010,0.0296807980,0.0151780290,0.0071062610,0.0164894300,0.0122883050,0.0108515150,0.0094164540,0.0092791970,0.0094521340,0.0094670640,0.0093202360,0.0095686230,0.0137464840,0.0178820940,0.0159406410,0.0204495280,0.0011280910,0.0009405080,52830.0899200000,51534.0549200000,0.9321037480, 
50.2913571700,0.1155214130,0.0296403300,0.0151499490,0.0070899320,0.0164019800,0.0122485200,0.0108358590,0.0094091780,0.0092734220,0.0094474990,0.0094689590,0.0093208380,0.0095706770,0.0137449770,0.0178738070,0.0159353790,0.0204444400,0.0011268700,0.0009394730,51120.2400800000,51606.3471400000,0.9320920340, 
50.2998905300,0.1152013090,0.0296008810,0.0151284590,0.0070769170,0.0163664610,0.0122229870,0.0108174670,0.0093991210,0.0092639850,0.0094353090,0.0094594090,0.0093152860,0.0095633030,0.0137410370,0.0178658820,0.0159252130,0.0204361480,0.0011259760,0.0009382520,51879.9014900000,51678.6393500000,0.9320968480, 
50.3084238900,0.1152205420,0.0296445780,0.0151758660,0.0071131300,0.0164255420,0.0122730710,0.0108594680,0.0094373430,0.0092986890,0.0094618330,0.0094828720,0.0093494760,0.0095867160,0.0137734460,0.0178960990,0.0159435690,0.0204563860,0.0011276270,0.0009368170,51625.9403000000,51750.7703900000,0.9320998790, 
50.3169572500,0.1152543600,0.0296325900,0.0151593080,0.0070977020,0.0164365650,0.0122767510,0.0108526450,0.0094245310,0.0092918920,0.0094631230,0.0094790820,0.0093467730,0.0095856700,0.0137794000,0.0179123200,0.0159507560,0.0204549820,0.0011304170,0.0009346370,51738.2662400000,51794.2904400000,0.9321106650, 
